Date,Product,Category,Price,Quantity,Revenue
2024-01-03,Tissue Roll Pack,Household,535,109,58315
2024-01-04,Rice 5kg,Grains,343,147,50421
2024-01-04,Beans 2kg,Grains,365,43,15695
2024-01-04,Maize Flour 1kg,Grains,4778,67,320126
2024-01-04,Garri 2kg,Grains,3267,92,300564
2024-01-04,Tomatoes 1kg,Vegetables,3122,97,302834
2024-01-04,Onions 1kg,Vegetables,3082,38,117116
2024-01-04,Pepper 0.5kg,Vegetables,2812,104,292448
2024-01-04,Spinach Bunch,Vegetables,1996,186,371256
2024-01-04,Milk 1L,Dairy,3265,64,208960
2024-01-04,Yoghurt 500ml,Dairy,605,77,46585
2024-01-04,Butter 250g,Dairy,1541,106,163346
2024-01-04,Cheese 200g,Dairy,3413,101,344713
2024-01-04,Coke 50cl,Beverages,4718,38,179284
2024-01-04,Pepsi 50cl,Beverages,4920,197,969240
2024-01-04,Malt 33cl,Beverages,760,74,56240
2024-01-04,Juice 1L,Beverages,1887,61,115107
2024-01-04,Biscuits Pack,Snacks,3554,145,515330
2024-01-04,Chin Chin 500g,Snacks,2462,159,391458
2024-01-04,Plantain Chips 200g,Snacks,1835,167,306445
2024-01-04,Groundnut 500g,Snacks,1636,33,53988
2024-01-04,Chicken 1kg,Proteins,3741,182,680862
2024-01-04,Beef 1kg,Proteins,2074,188,389912
2024-01-04,Fish 1kg,Proteins,4921,40,196840
2024-01-04,Eggs Crate,Proteins,4166,170,708220
2024-01-04,Detergent 1kg,Household,386,84,32424
2024-01-04,Soap Bar,Household,2212,10,22120
2024-01-04,Toothpaste 100ml,Household,2801,139,389339
2024-01-04,Tissue Roll Pack,Household,3111,178,553758
2024-01-05,Rice 5kg,Grains,2264,164,371296
2024-01-05,Beans 2kg,Grains,408,61,24888
2024-01-05,Maize Flour 1kg,Grains,1970,103,202910
2024-01-05,Garri 2kg,Grains,1675,92,154100
2024-01-05,Tomatoes 1kg,Vegetables,520,163,84760
2024-01-05,Onions 1kg,Vegetables,1086,10,10860
2024-01-05,Pepper 0.5kg,Vegetables,4225,30,126750
2024-01-05,Spinach Bunch,Vegetables,3646,62,226052
2024-01-05,Milk 1L,Dairy,2528,85,214880
2024-01-05,Yoghurt 500ml,Dairy,3814,76,289864
2024-01-05,Butter 250g,Dairy,4974,200,994800
2024-01-05,Cheese 200g,Dairy,3375,42,141750
2024-01-05,Coke 50cl,Beverages,4781,119,568939
2024-01-05,Pepsi 50cl,Beverages,3263,186,606918
2024-01-05,Malt 33cl,Beverages,2043,68,138924
2024-01-05,Juice 1L,Beverages,1876,10,18760
2024-01-05,Biscuits Pack,Snacks,4056,62,251472
2024-01-05,Chin Chin 500g,Snacks,2601,52,135252
2024-01-05,Plantain Chips 200g,Snacks,3987,56,223272
2024-01-05,Groundnut 500g,Snacks,4264,63,268632
2024-01-05,Chicken 1kg,Proteins,1407,125,175875
2024-01-05,Beef 1kg,Proteins,368,131,48208
2024-01-05,Fish 1kg,Proteins,1979,25,49475
2024-01-05,Eggs Crate,Proteins,722,118,85196
2024-01-05,Detergent 1kg,Household,3076,52,159952
2024-01-05,Soap Bar,Household,4965,156,774540
2024-01-05,Toothpaste 100ml,Household,4171,78,325338
2024-01-05,Tissue Roll Pack,Household,2340,168,393120
2024-01-06,Rice 5kg,Grains,829,61,50569
2024-01-06,Beans 2kg,Grains,947,180,170460
2024-01-06,Maize Flour 1kg,Grains,3949,47,185603
2024-01-06,Garri 2kg,Grains,2907,26,75582
2024-01-06,Tomatoes 1kg,Vegetables,4458,124,552792
2024-01-06,Onions 1kg,Vegetables,1738,180,312840
2024-01-06,Pepper 0.5kg,Vegetables,3507,141,494487
2024-01-06,Spinach Bunch,Vegetables,4919,92,452548
2024-01-06,Milk 1L,Dairy,1979,20,39580
2024-01-06,Yoghurt 500ml,Dairy,4683,97,454251
2024-01-06,Butter 250g,Dairy,2047,118,241546
2024-01-06,Cheese 200g,Dairy,1584,127,201168
2024-01-06,Coke 50cl,Beverages,1443,189,272727
2024-01-06,Pepsi 50cl,Beverages,4374,97,424278
2024-01-06,Malt 33cl,Beverages,1731,114,197334
2024-01-06,Juice 1L,Beverages,2962,54,159948
2024-01-06,Biscuits Pack,Snacks,4863,109,530067
2024-01-06,Chin Chin 500g,Snacks,4065,190,772350
2024-01-06,Plantain Chips 200g,Snacks,3373,141,475593
2024-01-06,Groundnut 500g,Snacks,922,112,103264
2024-01-06,Chicken 1kg,Proteins,3950,47,185650
2024-01-06,Beef 1kg,Proteins,1988,140,278320
2024-01-06,Fish 1kg,Proteins,2551,140,357140
2024-01-06,Eggs Crate,Proteins,1496,52,77792
2024-01-06,Detergent 1kg,Household,4932,124,611568
2024-01-06,Soap Bar,Household,2172,152,330144
2024-01-06,Toothpaste 100ml,Household,1364,92,125488
2024-01-06,Tissue Roll Pack,Household,4120,51,210120
2024-01-07,Rice 5kg,Grains,1413,82,115866
2024-01-07,Beans 2kg,Grains,1994,22,43868
2024-01-07,Maize Flour 1kg,Grains,4072,25,101800
2024-01-07,Garri 2kg,Grains,2121,107,226947
2024-01-07,Tomatoes 1kg,Vegetables,3321,51,169371
2024-01-07,Onions 1kg,Vegetables,2386,37,88282
2024-01-07,Pepper 0.5kg,Vegetables,2271,59,133989
2024-01-07,Spinach Bunch,Vegetables,474,36,17064
2024-01-07,Milk 1L,Dairy,1577,89,140353
2024-01-07,Yoghurt 500ml,Dairy,2849,149,424501
2024-01-07,Butter 250g,Dairy,1630,122,198860
2024-01-07,Cheese 200g,Dairy,2967,74,219558
2024-01-07,Coke 50cl,Beverages,2054,88,180752
2024-01-07,Pepsi 50cl,Beverages,1818,151,274518
2024-01-07,Malt 33cl,Beverages,1909,187,356983
2024-01-07,Juice 1L,Beverages,2140,121,258940
2024-01-07,Biscuits Pack,Snacks,446,110,49060
2024-01-07,Chin Chin 500g,Snacks,2255,169,381095
2024-01-07,Plantain Chips 200g,Snacks,4414,67,295738
2024-01-07,Groundnut 500g,Snacks,4190,144,603360
2024-01-07,Chicken 1kg,Proteins,902,186,167772
2024-01-07,Beef 1kg,Proteins,562,89,50018
2024-01-07,Fish 1kg,Proteins,2324,139,323036
2024-01-07,Eggs Crate,Proteins,3925,57,223725
2024-01-07,Detergent 1kg,Household,3970,21,83370
2024-01-07,Soap Bar,Household,4427,44,194788
2024-01-07,Toothpaste 100ml,Household,1889,36,68004
2024-01-07,Tissue Roll Pack,Household,4321,48,207408
2024-01-08,Rice 5kg,Grains,1725,98,169050
2024-01-08,Beans 2kg,Grains,963,35,33705
2024-01-08,Maize Flour 1kg,Grains,2074,78,161772
2024-01-08,Garri 2kg,Grains,3693,66,243738
2024-01-08,Tomatoes 1kg,Vegetables,1551,89,138039
2024-01-08,Onions 1kg,Vegetables,940,51,47940
2024-01-08,Pepper 0.5kg,Vegetables,2406,63,151578
2024-01-08,Spinach Bunch,Vegetables,437,53,23161
2024-01-08,Milk 1L,Dairy,3848,38,146224
2024-01-08,Yoghurt 500ml,Dairy,2344,18,42192
2024-01-08,Butter 250g,Dairy,1545,45,69525
2024-01-08,Cheese 200g,Dairy,3050,141,430050
2024-01-08,Coke 50cl,Beverages,4118,105,432390
2024-01-08,Pepsi 50cl,Beverages,1763,135,238005
2024-01-08,Malt 33cl,Beverages,2191,126,276066
2024-01-08,Juice 1L,Beverages,4531,196,888076
2024-01-08,Biscuits Pack,Snacks,4983,52,259116
2024-01-08,Chin Chin 500g,Snacks,3421,94,321574
2024-01-08,Plantain Chips 200g,Snacks,3490,75,261750
2024-01-08,Groundnut 500g,Snacks,875,129,112875
2024-01-08,Chicken 1kg,Proteins,3942,159,626778
2024-01-08,Beef 1kg,Proteins,4449,49,218001
2024-01-08,Fish 1kg,Proteins,231,140,32340
2024-01-08,Eggs Crate,Proteins,1232,90,110880
2024-01-08,Detergent 1kg,Household,2920,27,78840
2024-01-08,Soap Bar,Household,1427,36,51372
2024-01-08,Toothpaste 100ml,Household,3065,119,364735
2024-01-08,Tissue Roll Pack,Household,1302,25,32550
2024-01-09,Rice 5kg,Grains,2551,123,313773
2024-01-09,Beans 2kg,Grains,4805,67,321935
2024-01-09,Maize Flour 1kg,Grains,4768,69,328992
2024-01-09,Garri 2kg,Grains,3352,184,616768
2024-01-09,Tomatoes 1kg,Vegetables,3110,136,422960
2024-01-09,Onions 1kg,Vegetables,354,171,60534
2024-01-09,Pepper 0.5kg,Vegetables,1402,165,231330
2024-01-09,Spinach Bunch,Vegetables,4818,60,289080
2024-01-09,Milk 1L,Dairy,3319,183,607377
2024-01-09,Yoghurt 500ml,Dairy,1070,142,151940
2024-01-09,Butter 250g,Dairy,219,174,38106
2024-01-09,Cheese 200g,Dairy,2094,149,312006
2024-01-09,Coke 50cl,Beverages,3186,200,637200
2024-01-09,Pepsi 50cl,Beverages,1553,32,49696
2024-01-09,Malt 33cl,Beverages,3965,23,91195
2024-01-09,Juice 1L,Beverages,445,182,80990
2024-01-09,Biscuits Pack,Snacks,2313,100,231300
2024-01-09,Chin Chin 500g,Snacks,4998,108,539784
2024-01-09,Plantain Chips 200g,Snacks,2086,149,310814
2024-01-09,Groundnut 500g,Snacks,851,119,101269
2024-01-09,Chicken 1kg,Proteins,4443,123,546489
2024-01-09,Beef 1kg,Proteins,3921,55,215655
2024-01-09,Fish 1kg,Proteins,3259,21,68439
2024-01-09,Eggs Crate,Proteins,1742,159,276978
2024-01-09,Detergent 1kg,Household,882,172,151704
2024-01-09,Soap Bar,Household,2968,146,433328
2024-01-09,Toothpaste 100ml,Household,3381,196,662676
2024-01-09,Tissue Roll Pack,Household,1190,199,236810
2024-01-10,Rice 5kg,Grains,3857,184,709688
2024-01-10,Beans 2kg,Grains,1396,181,252676
2024-01-10,Maize Flour 1kg,Grains,1570,167,262190
2024-01-10,Garri 2kg,Grains,2969,70,207830
2024-01-10,Tomatoes 1kg,Vegetables,1209,144,174096
2024-01-10,Onions 1kg,Vegetables,2410,15,36150
2024-01-10,Pepper 0.5kg,Vegetables,3577,122,436394
2024-01-10,Spinach Bunch,Vegetables,3923,141,553143
2024-01-10,Milk 1L,Dairy,2789,125,348625
2024-01-10,Yoghurt 500ml,Dairy,3958,199,787642
2024-01-10,Butter 250g,Dairy,4925,175,861875
2024-01-10,Cheese 200g,Dairy,1255,96,120480
2024-01-10,Coke 50cl,Beverages,2110,98,206780
2024-01-10,Pepsi 50cl,Beverages,1482,133,197106
2024-01-10,Malt 33cl,Beverages,2993,146,436978
2024-01-10,Juice 1L,Beverages,2115,17,35955
2024-01-10,Biscuits Pack,Snacks,1848,79,145992
2024-01-10,Chin Chin 500g,Snacks,3930,94,369420
2024-01-10,Plantain Chips 200g,Snacks,786,21,16506
2024-01-10,Groundnut 500g,Snacks,2581,124,320044
2024-01-10,Chicken 1kg,Proteins,1651,108,178308
2024-01-10,Beef 1kg,Proteins,3223,164,528572
2024-01-10,Fish 1kg,Proteins,4152,125,519000
2024-01-10,Eggs Crate,Proteins,1359,67,91053
2024-01-10,Detergent 1kg,Household,655,195,127725
2024-01-10,Soap Bar,Household,3269,155,506695
2024-01-10,Toothpaste 100ml,Household,4711,32,150752
2024-01-10,Tissue Roll Pack,Household,1870,179,334730
2024-01-11,Rice 5kg,Grains,2884,154,444136
2024-01-11,Beans 2kg,Grains,1961,17,33337
2024-01-11,Maize Flour 1kg,Grains,4912,168,825216
2024-01-11,Garri 2kg,Grains,4567,61,278587
2024-01-11,Tomatoes 1kg,Vegetables,204,19,3876
2024-01-11,Onions 1kg,Vegetables,2550,126,321300
2024-01-11,Pepper 0.5kg,Vegetables,3072,191,586752
2024-01-11,Spinach Bunch,Vegetables,4847,142,688274
2024-01-11,Milk 1L,Dairy,4231,86,363866
2024-01-11,Yoghurt 500ml,Dairy,617,197,121549
2024-01-11,Butter 250g,Dairy,1150,60,69000
2024-01-11,Cheese 200g,Dairy,1439,125,179875
2024-01-11,Coke 50cl,Beverages,1660,188,312080
2024-01-11,Pepsi 50cl,Beverages,678,40,27120
2024-01-11,Malt 33cl,Beverages,3577,25,89425
2024-01-11,Juice 1L,Beverages,3380,67,226460
2024-01-11,Biscuits Pack,Snacks,4147,73,302731
2024-01-11,Chin Chin 500g,Snacks,1286,112,144032
2024-01-11,Plantain Chips 200g,Snacks,1084,125,135500
2024-01-11,Groundnut 500g,Snacks,2176,66,143616
2024-01-11,Chicken 1kg,Proteins,4760,26,123760
2024-01-11,Beef 1kg,Proteins,2198,115,252770
2024-01-11,Fish 1kg,Proteins,2683,175,469525
2024-01-11,Eggs Crate,Proteins,1876,70,131320
2024-01-11,Detergent 1kg,Household,725,200,145000
2024-01-11,Soap Bar,Household,2593,112,290416
2024-01-11,Toothpaste 100ml,Household,1067,117,124839
2024-01-11,Tissue Roll Pack,Household,1139,124,141236
2024-01-12,Rice 5kg,Grains,3373,69,232737
2024-01-12,Beans 2kg,Grains,549,83,45567
2024-01-12,Maize Flour 1kg,Grains,1533,186,285138
2024-01-12,Garri 2kg,Grains,4938,127,627126
2024-01-12,Tomatoes 1kg,Vegetables,4104,93,381672
2024-01-12,Onions 1kg,Vegetables,1437,141,202617
2024-01-12,Pepper 0.5kg,Vegetables,1082,173,187186
2024-01-12,Spinach Bunch,Vegetables,472,193,91096
2024-01-12,Milk 1L,Dairy,3776,88,332288
2024-01-12,Yoghurt 500ml,Dairy,4230,154,651420
2024-01-12,Butter 250g,Dairy,303,145,43935
2024-01-12,Cheese 200g,Dairy,4985,68,338980
2024-01-12,Coke 50cl,Beverages,1786,36,64296
2024-01-12,Pepsi 50cl,Beverages,4981,150,747150
2024-01-12,Malt 33cl,Beverages,3859,85,328015
2024-01-12,Juice 1L,Beverages,4766,58,276428
2024-01-12,Biscuits Pack,Snacks,4660,153,712980
2024-01-12,Chin Chin 500g,Snacks,4655,80,372400
2024-01-12,Plantain Chips 200g,Snacks,1786,130,232180
2024-01-12,Groundnut 500g,Snacks,3527,168,592536
2024-01-12,Chicken 1kg,Proteins,867,166,143922
2024-01-12,Beef 1kg,Proteins,4554,45,204930
2024-01-12,Fish 1kg,Proteins,2637,117,308529
2024-01-12,Eggs Crate,Proteins,4204,34,142936
2024-01-12,Detergent 1kg,Household,3848,159,611832
2024-01-12,Soap Bar,Household,2513,138,346794
2024-01-12,Toothpaste 100ml,Household,4624,59,272816
2024-01-12,Tissue Roll Pack,Household,820,79,64780
2024-01-13,Rice 5kg,Grains,3401,160,544160
2024-01-13,Beans 2kg,Grains,1808,140,253120
2024-01-13,Maize Flour 1kg,Grains,392,182,71344
2024-01-13,Garri 2kg,Grains,1866,82,153012
2024-01-13,Tomatoes 1kg,Vegetables,1958,61,119438
2024-01-13,Onions 1kg,Vegetables,2778,195,541710
2024-01-13,Pepper 0.5kg,Vegetables,2674,114,304836
2024-01-13,Spinach Bunch,Vegetables,907,189,171423
2024-01-13,Milk 1L,Dairy,2371,69,163599
2024-01-13,Yoghurt 500ml,Dairy,562,86,48332
2024-01-13,Butter 250g,Dairy,661,131,86591
2024-01-13,Cheese 200g,Dairy,1581,150,237150
2024-01-13,Coke 50cl,Beverages,4786,33,157938
2024-01-13,Pepsi 50cl,Beverages,3265,184,600760
2024-01-13,Malt 33cl,Beverages,3037,96,291552
2024-01-13,Juice 1L,Beverages,416,77,32032
2024-01-13,Biscuits Pack,Snacks,1677,142,238134
2024-01-13,Chin Chin 500g,Snacks,2526,140,353640
2024-01-13,Plantain Chips 200g,Snacks,2800,107,299600
2024-01-13,Groundnut 500g,Snacks,1650,13,21450
2024-01-13,Chicken 1kg,Proteins,4714,122,575108
2024-01-13,Beef 1kg,Proteins,3119,187,583253
2024-01-13,Fish 1kg,Proteins,4532,161,729652
2024-01-13,Eggs Crate,Proteins,3713,118,438134
2024-01-13,Detergent 1kg,Household,4158,104,432432
2024-01-13,Soap Bar,Household,257,191,49087
2024-01-13,Toothpaste 100ml,Household,4259,135,574965
2024-01-13,Tissue Roll Pack,Household,4664,57,265848
2024-01-14,Rice 5kg,Grains,4279,12,51348
2024-01-14,Beans 2kg,Grains,528,179,94512
2024-01-14,Maize Flour 1kg,Grains,3345,168,561960
2024-01-14,Garri 2kg,Grains,4162,31,129022
2024-01-14,Tomatoes 1kg,Vegetables,2469,47,116043
2024-01-14,Onions 1kg,Vegetables,3665,151,553415
2024-01-14,Pepper 0.5kg,Vegetables,3694,187,690778
2024-01-14,Spinach Bunch,Vegetables,2021,49,99029
2024-01-14,Milk 1L,Dairy,3419,107,365833
2024-01-14,Yoghurt 500ml,Dairy,4778,115,549470
2024-01-14,Butter 250g,Dairy,4061,47,190867
2024-01-14,Cheese 200g,Dairy,3368,73,245864
2024-01-14,Coke 50cl,Beverages,758,194,147052
2024-01-14,Pepsi 50cl,Beverages,4927,81,399087
2024-01-14,Malt 33cl,Beverages,2562,81,207522
2024-01-14,Juice 1L,Beverages,2149,41,88109
2024-01-14,Biscuits Pack,Snacks,4390,82,359980
2024-01-14,Chin Chin 500g,Snacks,4845,147,712215
2024-01-14,Plantain Chips 200g,Snacks,1442,31,44702
2024-01-14,Groundnut 500g,Snacks,4928,195,960960
2024-01-14,Chicken 1kg,Proteins,3873,59,228507
2024-01-14,Beef 1kg,Proteins,3641,70,254870
2024-01-14,Fish 1kg,Proteins,733,179,131207
2024-01-14,Eggs Crate,Proteins,4242,147,623574
2024-01-14,Detergent 1kg,Household,1047,13,13611
2024-01-14,Soap Bar,Household,2431,132,320892
2024-01-14,Toothpaste 100ml,Household,3725,156,581100
2024-01-14,Tissue Roll Pack,Household,3472,129,447888
2024-01-15,Rice 5kg,Grains,2570,167,429190
2024-01-15,Beans 2kg,Grains,1093,49,53557
2024-01-15,Maize Flour 1kg,Grains,1141,14,15974
2024-01-15,Garri 2kg,Grains,2379,128,304512
2024-01-15,Tomatoes 1kg,Vegetables,1214,124,150536
2024-01-15,Onions 1kg,Vegetables,1440,22,31680
2024-01-15,Pepper 0.5kg,Vegetables,2228,134,298552
2024-01-15,Spinach Bunch,Vegetables,1006,126,126756
2024-01-15,Milk 1L,Dairy,2001,76,152076
2024-01-15,Yoghurt 500ml,Dairy,1392,103,143376
2024-01-15,Butter 250g,Dairy,4499,149,670351
2024-01-15,Cheese 200g,Dairy,3255,112,364560
2024-01-15,Coke 50cl,Beverages,2210,12,26520
2024-01-15,Pepsi 50cl,Beverages,840,92,77280
2024-01-15,Malt 33cl,Beverages,3307,175,578725
2024-01-15,Juice 1L,Beverages,342,60,20520
2024-01-15,Biscuits Pack,Snacks,2337,129,301473
2024-01-15,Chin Chin 500g,Snacks,4741,108,512028
2024-01-15,Plantain Chips 200g,Snacks,3995,89,355555
2024-01-15,Groundnut 500g,Snacks,605,200,121000
2024-01-15,Chicken 1kg,Proteins,3325,31,103075
2024-01-15,Beef 1kg,Proteins,1684,109,183556
2024-01-15,Fish 1kg,Proteins,1295,166,214970
2024-01-15,Eggs Crate,Proteins,3823,105,401415
2024-01-15,Detergent 1kg,Household,1478,114,168492
2024-01-15,Soap Bar,Household,716,176,126016
2024-01-15,Toothpaste 100ml,Household,4644,97,450468
2024-01-15,Tissue Roll Pack,Household,2798,24,67152
2024-01-16,Rice 5kg,Grains,3949,117,462033
2024-01-16,Beans 2kg,Grains,466,115,53590
2024-01-16,Maize Flour 1kg,Grains,4306,117,503802
2024-01-16,Garri 2kg,Grains,1009,104,104936
2024-01-16,Tomatoes 1kg,Vegetables,2690,168,451920
2024-01-16,Onions 1kg,Vegetables,678,154,104412
2024-01-16,Pepper 0.5kg,Vegetables,774,46,35604
2024-01-16,Spinach Bunch,Vegetables,4855,67,325285
2024-01-16,Milk 1L,Dairy,2114,33,69762
2024-01-16,Yoghurt 500ml,Dairy,4963,119,590597
2024-01-16,Butter 250g,Dairy,4169,166,692054
2024-01-16,Cheese 200g,Dairy,1906,121,230626
2024-01-16,Coke 50cl,Beverages,4907,55,269885
2024-01-16,Pepsi 50cl,Beverages,3211,137,439907
2024-01-16,Malt 33cl,Beverages,1847,197,363859
2024-01-16,Juice 1L,Beverages,2803,179,501737
2024-01-16,Biscuits Pack,Snacks,4034,102,411468
2024-01-16,Chin Chin 500g,Snacks,2272,80,181760
2024-01-16,Plantain Chips 200g,Snacks,4453,134,596702
2024-01-16,Groundnut 500g,Snacks,721,12,8652
2024-01-16,Chicken 1kg,Proteins,4930,15,73950
2024-01-16,Beef 1kg,Proteins,875,138,120750
2024-01-16,Fish 1kg,Proteins,1263,122,154086
2024-01-16,Eggs Crate,Proteins,1486,153,227358
2024-01-16,Detergent 1kg,Household,3048,152,463296
2024-01-16,Soap Bar,Household,2169,110,238590
2024-01-16,Toothpaste 100ml,Household,3577,195,697515
2024-01-16,Tissue Roll Pack,Household,2163,135,292005
2024-01-17,Rice 5kg,Grains,3621,152,550392
2024-01-17,Beans 2kg,Grains,4982,111,553002
2024-01-17,Maize Flour 1kg,Grains,1948,113,220124
2024-01-17,Garri 2kg,Grains,3265,167,545255
2024-01-17,Tomatoes 1kg,Vegetables,2387,17,40579
2024-01-17,Onions 1kg,Vegetables,1365,69,94185
2024-01-17,Pepper 0.5kg,Vegetables,2940,72,211680
2024-01-17,Spinach Bunch,Vegetables,2662,194,516428
2024-01-17,Milk 1L,Dairy,875,167,146125
2024-01-17,Yoghurt 500ml,Dairy,2545,118,300310
2024-01-17,Butter 250g,Dairy,678,183,124074
2024-01-17,Cheese 200g,Dairy,664,124,82336
2024-01-17,Coke 50cl,Beverages,3602,75,270150
2024-01-17,Pepsi 50cl,Beverages,1998,45,89910
2024-01-17,Malt 33cl,Beverages,2260,171,386460
2024-01-17,Juice 1L,Beverages,1365,44,60060
2024-01-17,Biscuits Pack,Snacks,1101,109,120009
2024-01-17,Chin Chin 500g,Snacks,371,17,6307
2024-01-17,Plantain Chips 200g,Snacks,1015,61,61915
2024-01-17,Groundnut 500g,Snacks,483,120,57960
2024-01-17,Chicken 1kg,Proteins,208,171,35568
2024-01-17,Beef 1kg,Proteins,2957,138,408066
2024-01-17,Fish 1kg,Proteins,1214,17,20638
2024-01-17,Eggs Crate,Proteins,4839,164,793596
2024-01-17,Detergent 1kg,Household,4822,113,544886
2024-01-17,Soap Bar,Household,3832,20,76640
2024-01-17,Toothpaste 100ml,Household,2614,122,318908
2024-01-17,Tissue Roll Pack,Household,3871,118,456778
2024-01-18,Rice 5kg,Grains,1600,91,145600
2024-01-18,Beans 2kg,Grains,2539,79,200581
2024-01-18,Maize Flour 1kg,Grains,701,61,42761
2024-01-18,Garri 2kg,Grains,3243,125,405375
2024-01-18,Tomatoes 1kg,Vegetables,3297,75,247275
2024-01-18,Onions 1kg,Vegetables,1505,76,114380
2024-01-18,Pepper 0.5kg,Vegetables,3251,103,334853
2024-01-18,Spinach Bunch,Vegetables,4339,147,637833
2024-01-18,Milk 1L,Dairy,4703,74,348022
2024-01-18,Yoghurt 500ml,Dairy,3367,155,521885
2024-01-18,Butter 250g,Dairy,4760,58,276080
2024-01-18,Cheese 200g,Dairy,2379,177,421083
2024-01-18,Coke 50cl,Beverages,1186,47,55742
